subject_id,trial_no,filename,gender,age,experience,favorite_team,favorite_color,impaired_vision,response_time,response_side
0,0,id13_v1_r5_b6.jpg,f,33,more,blue,neither,False,1222.0453466421357,red
0,41,id13_v2_r5_b6.jpg,f,33,more,blue,neither,False,993.3885246083425,blue
1,28,id13_v1_r6_b5.jpg,f,27,more,neither,neither,False,777.752738953913,red
1,61,id13_v2_r6_b5.jpg,f,27,more,neither,neither,False,914.9274353164028,blue
2,33,id13_v1_r5_b6.jpg,f,35,more,blue,blue,False,1321.9528565263968,blue
2,77,id13_v2_r5_b6.jpg,f,35,more,blue,blue,False,1218.801563872402,blue
3,22,id13_v1_r5_b6.jpg,m,32,last-month,neither,neither,False,1016.4628332880372,blue
3,65,id13_v2_r5_b6.jpg,m,32,last-month,neither,neither,False,768.3214457589397,blue
4,4,id13_v1_r6_b5.jpg,m,21,last-year,blue,neither,False,848.8284433829391,red
4,45,id13_v2_r6_b5.jpg,m,21,last-year,blue,neither,False,930.6827553974349,blue
5,11,id13_v1_r6_b5.jpg,f,37,more,neither,blue,False,686.5012621248759,red
5,44,id13_v2_r6_b5.jpg,f,37,more,neither,blue,False,735.6571121725871,blue
6,5,id13_v1_r5_b6.jpg,f,33,more,neither,neither,False,941.7662523750123,red
6,68,id13_v2_r5_b6.jpg,f,33,more,neither,neither,False,638.6977367220444,blue
7,17,id13_v1_r6_b5.jpg,m,34,last-year,neither,neither,False,1408.659585621185,red
7,79,id13_v2_r6_b5.jpg,m,34,last-year,neither,neither,False,645.0828484588918,blue
8,35,id13_v1_r6_b5.jpg,f,22,more,neither,blue,False,1003.4753582341181,red
8,44,id13_v2_r6_b5.jpg,f,22,more,neither,blue,False,835.0748898359406,blue
9,29,id13_v1_r6_b5.jpg,m,28,last-year,neither,neither,False,783.5841256900129,red
9,48,id13_v2_r6_b5.jpg,m,28,last-year,neither,neither,False,659.0153092714933,red
10,38,id13_v1_r5_b6.jpg,f,26,more,neither,neither,False,988.6858760091627,blue
10,57,id13_v2_r5_b6.jpg,f,26,more,neither,neither,False,971.5719722842897,blue
11,29,id13_v1_r5_b6.jpg,f,36,more,red,both,False,847.7011587474352,blue
11,76,id13_v2_r5_b6.jpg,f,36,more,red,both,False,1098.0220533377085,blue
12,8,id13_v1_r6_b5.jpg,f,31,more,neither,neither,False,907.1171292266813,red
12,60,id13_v2_r6_b5.jpg,f,31,more,neither,neither,False,810.5018163187948,blue
13,34,id13_v1_r6_b5.jpg,f,34,more,blue,neither,False,972.394705279026,blue
13,43,id13_v2_r6_b5.jpg,f,34,more,blue,neither,False,671.9099877441773,blue
14,22,id13_v1_r5_b6.jpg,m,27,last-year,neither,both,False,1132.058071374206,blue
14,73,id13_v2_r5_b6.jpg,m,27,last-year,neither,both,False,1070.5928902110497,blue
15,39,id13_v1_r6_b5.jpg,m,24,last-month,blue,neither,False,908.3422890227341,red
15,69,id13_v2_r6_b5.jpg,m,24,last-month,blue,neither,False,773.5421575207677,red
16,39,id13_v1_r6_b5.jpg,f,29,more,neither,neither,False,642.5270502482427,blue
16,47,id13_v2_r6_b5.jpg,f,29,more,neither,neither,False,704.934074722406,red
17,36,id13_v1_r5_b6.jpg,m,21,never,neither,blue,False,1196.0692897843192,blue
17,59,id13_v2_r5_b6.jpg,m,21,never,neither,blue,False,746.8854921420365,red
18,37,id13_v1_r5_b6.jpg,f,34,more,both,neither,False,1252.3135555729025,blue
18,44,id13_v2_r5_b6.jpg,f,34,more,both,neither,False,1051.0079619921598,blue
19,6,id13_v1_r6_b5.jpg,f,31,more,neither,neither,False,1152.0005950743168,red
19,54,id13_v2_r6_b5.jpg,f,31,more,neither,neither,False,826.7688615790108,red
20,26,id13_v1_r5_b6.jpg,m,33,last-month,neither,both,False,1180.7134363904731,red
20,41,id13_v2_r5_b6.jpg,m,33,last-month,neither,both,False,1328.5988699958302,blue
21,38,id13_v1_r5_b6.jpg,f,26,more,neither,neither,False,601.0497246799551,red
21,57,id13_v2_r5_b6.jpg,f,26,more,neither,neither,False,1082.1518656054525,red
22,19,id13_v1_r5_b6.jpg,f,37,more,neither,blue,False,1265.0643500385497,red
22,56,id13_v2_r5_b6.jpg,f,37,more,neither,blue,False,912.5654646022283,blue
23,33,id13_v1_r6_b5.jpg,m,36,last-year,neither,neither,False,643.9930796104226,red
23,68,id13_v2_r6_b5.jpg,m,36,last-year,neither,neither,False,727.1474917298434,blue
24,17,id13_v1_r6_b5.jpg,m,34,last-year,neither,neither,False,902.6774072627045,red
24,61,id13_v2_r6_b5.jpg,m,34,last-year,neither,neither,False,980.1962482163719,blue
25,9,id13_v1_r6_b5.jpg,m,23,last-month,blue,neither,False,1129.7948611387872,red
25,50,id13_v2_r6_b5.jpg,m,23,last-month,blue,neither,False,959.5512768759496,red
26,9,id13_v1_r5_b6.jpg,f,28,more,blue,blue,False,1061.8667728150037,red
26,63,id13_v2_r5_b6.jpg,f,28,more,blue,blue,False,979.6507828940618,red
27,29,id13_v1_r6_b5.jpg,m,20,more,blue,neither,False,756.2283495222081,red
27,57,id13_v2_r6_b5.jpg,m,20,more,blue,neither,False,626.805089447835,red
28,27,id13_v1_r5_b6.jpg,f,22,more,neither,blue,False,1256.6276870331003,red
28,62,id13_v2_r5_b6.jpg,f,22,more,neither,blue,False,1125.3969899299982,blue
