subject_id,filename,response_time,gender,age,knows_football,sim_psucc,response_side
0,id13_r5_b6.png,984.3629345494738,m,33,0,0.7952367386862005,blue
0,id13_r6_b5.png,1009.7365110372207,m,33,0,0.8198954317994411,red
1,id13_r6_b5.png,996.2307056269385,m,27,1,0.7821924306042796,red
1,id13_r5_b6.png,1541.6623747599647,m,27,1,0.6614513758235107,red
2,id13_r5_b6.png,1251.4482609101876,f,35,0,0.7294566608362724,blue
2,id13_r6_b5.png,1030.6580384204597,f,35,0,0.8291125698240527,red
3,id13_r5_b6.png,1256.972666563715,m,32,0,0.5441252022681639,blue
3,id13_r6_b5.png,1009.905795940743,m,32,0,0.6406745620995747,red
4,id13_r6_b5.png,916.4326164340641,f,21,0,0.7509744452849281,red
4,id13_r5_b6.png,949.2427286259802,f,21,0,0.6789609640573792,blue
5,id13_r6_b5.png,829.3000312307281,f,37,0,0.7902740436289591,red
5,id13_r5_b6.png,1361.965846223713,f,37,0,0.7738467912216076,blue
6,id13_r5_b6.png,1108.617426746999,m,33,1,0.7894269337380302,red
6,id13_r6_b5.png,664.2279775170593,m,33,1,0.8290823008863449,red
7,id13_r6_b5.png,726.4720792791228,m,34,1,0.9079129005431815,red
7,id13_r5_b6.png,857.4350566848581,m,34,1,0.6651703368055785,red
8,id13_r6_b5.png,1117.3837485102179,m,22,1,0.7603569252790299,blue
8,id13_r5_b6.png,1202.746041688708,m,22,1,0.8321724223146845,blue
9,id13_r6_b5.png,1091.1316879954188,m,28,0,0.8311703469352779,blue
9,id13_r5_b6.png,1201.3807761177798,m,28,0,0.6650307529479442,red
10,id13_r5_b6.png,1558.664477067164,m,26,1,0.5359680423048583,red
10,id13_r6_b5.png,1238.2970735871797,m,26,1,0.6766770353883633,red
11,id13_r5_b6.png,1497.1797352365563,m,36,1,0.8022246609967654,blue
11,id13_r6_b5.png,811.67574416696,m,36,1,0.8012202304877395,red
12,id13_r6_b5.png,829.5052194274066,m,31,1,0.8805853575004118,red
12,id13_r5_b6.png,1360.331378154096,m,31,1,0.6451749106557059,blue
13,id13_r6_b5.png,972.1706323360872,f,34,0,0.7196794708957429,red
13,id13_r5_b6.png,1526.7983960115512,f,34,0,0.7829511551592168,blue
14,id13_r5_b6.png,1010.6862778921835,m,27,1,0.6795597728280651,blue
14,id13_r6_b5.png,1181.4445949496526,m,27,1,0.825929527774179,blue
15,id13_r6_b5.png,1095.8390537370576,m,24,1,0.7058483111389701,red
15,id13_r5_b6.png,834.7459220630628,m,24,1,0.639743866289666,blue
16,id13_r6_b5.png,945.7460370397185,m,29,1,0.7475899516313539,blue
16,id13_r5_b6.png,925.0610990666834,m,29,1,0.6959571947868675,red
17,id13_r5_b6.png,986.5004806059718,m,21,1,0.6845557859913247,red
17,id13_r6_b5.png,1062.3155871000747,m,21,1,0.7359785214932065,blue
18,id13_r5_b6.png,1058.2374004451012,m,34,1,0.7067243974629159,red
18,id13_r6_b5.png,897.5277692099414,m,34,1,0.8101903896250678,red
19,id13_r6_b5.png,951.0061253458864,m,31,1,0.8358125900743889,red
19,id13_r5_b6.png,1071.875073625244,m,31,1,0.6599458799844304,blue
20,id13_r5_b6.png,1405.5422770866887,m,33,1,0.7874565389819603,blue
20,id13_r6_b5.png,1034.0692783786071,m,33,1,0.8831667204811589,blue
21,id13_r5_b6.png,1190.5707631148493,m,26,1,0.6979832368290093,blue
