subject_id,trial_no,filename,scene_id,red_count,blue_count,expected_side,gender,age,experience,favorite_team,favorite_color,sim_psucc,impaired_vision,_sim_psucc_blue,_sim_psucc_red,_sim_scene_penalty,response_time,_sim_psucc_color,response_side
0,0,id13_v1_r5_b6.jpg,13,5,6,blue,m,33,more,blue,neither,0.5191468986055218,False,0.7179375137697107,0.7179375137697107,0.06900389051280852,891.8437367348209,0.7179375137697107,red
0,41,id13_v2_r6_b5.jpg,13,6,5,red,m,33,more,blue,neither,0.7305018982024375,False,0.7179375137697107,0.799505788715246,0.06900389051280852,794.683522457299,0.799505788715246,red
1,28,id13_v1_r6_b5.jpg,13,6,5,red,f,27,more,neither,neither,0.6276805385863288,False,0.7484803502857114,0.6966844290991373,0.06900389051280852,954.5007429954995,0.6966844290991373,red
1,61,id13_v2_r5_b6.jpg,13,5,6,blue,f,27,more,neither,neither,0.6794764597729028,False,0.7484803502857114,0.7484803502857114,0.06900389051280852,1109.4114773326967,0.7484803502857114,red
2,33,id13_v1_r5_b6.jpg,13,5,6,blue,m,35,last-month,blue,blue,0.7167973249847044,False,0.7858012154975129,0.7858012154975129,0.06900389051280852,850.0111983913165,0.7858012154975129,blue
2,77,id13_v2_r6_b5.jpg,13,6,5,red,m,35,last-month,blue,blue,0.8679809514960953,False,0.7858012154975129,0.9369848420089039,0.06900389051280852,848.9388624427185,0.9369848420089039,red
3,22,id13_v1_r5_b6.jpg,13,5,6,blue,f,32,more,neither,neither,0.7553786264877882,False,0.8243825170005967,0.8243825170005967,0.06900389051280852,1070.970772616124,0.8243825170005967,blue
3,65,id13_v2_r6_b5.jpg,13,6,5,red,f,32,more,neither,neither,0.7083898247284991,False,0.8243825170005967,0.7773937152413076,0.06900389051280852,913.752428630391,0.7773937152413076,red
4,4,id13_v1_r6_b5.jpg,13,6,5,red,m,21,last-year,blue,neither,0.6873017349630455,False,0.6993255550260905,0.8422183423462346,0.06900389051280852,702.5635501760703,0.8422183423462346,red
4,45,id13_v2_r5_b6.jpg,13,5,6,blue,m,21,last-year,blue,neither,0.630321664513282,False,0.6993255550260905,0.6993255550260905,0.06900389051280852,839.5315380202106,0.6993255550260905,red
5,11,id13_v1_r6_b5.jpg,13,6,5,red,f,37,more,neither,blue,0.6672462320357052,False,0.8182774340423229,0.7362501225485137,0.06900389051280852,803.3238706428161,0.7362501225485137,red
5,44,id13_v2_r5_b6.jpg,13,5,6,blue,f,37,more,neither,blue,0.7492735435295144,False,0.8182774340423229,0.8182774340423229,0.06900389051280852,784.6281304553223,0.8182774340423229,blue
6,5,id13_v1_r5_b6.jpg,13,5,6,blue,f,33,more,neither,neither,0.6685288108497169,False,0.802755024372254,0.802755024372254,0.06900389051280852,1186.9642628937422,0.802755024372254,red
6,68,id13_v2_r6_b5.jpg,13,6,5,red,f,33,more,neither,neither,0.6893858884311752,False,0.802755024372254,0.7583897789439837,0.06900389051280852,937.8713177857762,0.7583897789439837,red
7,17,id13_v1_r6_b5.jpg,13,6,5,red,f,34,more,neither,neither,0.7727246060836767,False,0.7721669358354686,0.8417284965964852,0.06900389051280852,1160.1099211358119,0.8417284965964852,red
7,79,id13_v2_r5_b6.jpg,13,5,6,blue,f,34,more,neither,neither,0.70316304532266,False,0.7721669358354686,0.7721669358354686,0.06900389051280852,816.0478720596957,0.7721669358354686,red
8,35,id13_v1_r6_b5.jpg,13,6,5,red,m,22,last-month,neither,blue,0.7316442331438193,False,0.779771225932138,0.8006481236566279,0.06900389051280852,687.9612585390303,0.8006481236566279,red
8,44,id13_v2_r5_b6.jpg,13,5,6,blue,m,22,last-month,neither,blue,0.7107673354193295,False,0.779771225932138,0.779771225932138,0.06900389051280852,846.501786838509,0.779771225932138,red
9,29,id13_v1_r6_b5.jpg,13,6,5,red,m,28,last-year,neither,neither,0.7720382230548956,False,0.7664618678287032,0.8410421135677041,0.06900389051280852,882.567755051143,0.8410421135677041,red
9,48,id13_v2_r5_b6.jpg,13,5,6,blue,m,28,last-year,neither,neither,0.6974579773158947,False,0.7664618678287032,0.7664618678287032,0.06900389051280852,968.9296894555762,0.7664618678287032,blue
10,38,id13_v1_r5_b6.jpg,13,5,6,blue,f,26,more,neither,neither,0.7096112775221104,False,0.7786151680349189,0.7786151680349189,0.06900389051280852,1060.537272796586,0.7786151680349189,blue
10,57,id13_v2_r6_b5.jpg,13,6,5,red,f,26,more,neither,neither,0.7205720905603684,False,0.7786151680349189,0.789575981073177,0.06900389051280852,994.9198602846284,0.789575981073177,red
11,29,id13_v1_r5_b6.jpg,13,5,6,blue,m,36,last-year,red,both,0.6242446716634179,False,0.6932485621762264,0.6932485621762264,0.06900389051280852,1135.9390741671098,0.6932485621762264,blue
11,76,id13_v2_r6_b5.jpg,13,6,5,red,m,36,last-year,red,both,0.6052928335330132,False,0.6932485621762264,0.6742967240458217,0.06900389051280852,926.2104698828151,0.6742967240458217,red
12,8,id13_v1_r6_b5.jpg,13,6,5,red,m,31,last-month,neither,neither,0.6614368966430407,False,0.704616869363194,0.7454734438977366,0.06900389051280852,1193.958691815666,0.7454734438977366,red
12,60,id13_v2_r5_b6.jpg,13,5,6,blue,m,31,last-month,neither,neither,0.6356129788503855,False,0.704616869363194,0.704616869363194,0.06900389051280852,696.461769113871,0.704616869363194,red
13,34,id13_v1_r6_b5.jpg,13,6,5,red,m,34,last-year,blue,neither,0.6730461346374506,False,0.7659270719522175,0.7420500251502591,0.06900389051280852,1003.2636799695067,0.7420500251502591,blue
